SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905971,HCC2998,SMYD5,normal,      -0.813
905971,HCC2998,KLK14,normal,       0.019
905971,HCC2998,PTDSS2,normal,       0.065
905971,HCC2998,ZSCAN32,normal,      -0.443
905971,HCC2998,MMUT,normal,       1.200
905971,HCC2998,HEATR4,normal,       1.903
905971,HCC2998,NKX2-6,normal,       0.086
905971,HCC2998,ARIH2OS,normal,       0.446
905971,HCC2998,ERAL1,normal,       0.502
905971,HCC2998,FAM110D,normal,       1.028
905971,HCC2998,DGKI,normal,      -1.133
905971,HCC2998,BMX,normal,      -1.196
905971,HCC2998,ZFYVE16,normal,       1.761
905971,HCC2998,MYO1F,normal,       0.259
905971,HCC2998,ACADVL,normal,       0.837
905971,HCC2998,AURKA,normal,      -0.242
905971,HCC2998,FITM2,normal,       0.595
905971,HCC2998,RPS6KA6,normal,       0.997
905971,HCC2998,PHTF1,normal,      -1.038
905971,HCC2998,UFL1,normal,       1.168
905971,HCC2998,DCXR,normal,      -0.156
905971,HCC2998,MAFB,under,      -2.528
905971,HCC2998,P2RY1,normal,      -0.369
905971,HCC2998,CUL3,normal,       0.507
905971,HCC2998,ANKRD66,normal,      -1.177
905971,HCC2998,APOL3,normal,      -1.398
905971,HCC2998,USHBP1,normal,      -0.342
905971,HCC2998,B4GALNT2,normal,       0.684
905971,HCC2998,SPARCL1,normal,      -1.652
905971,HCC2998,TIGD5,normal,       0.521
905971,HCC2998,TRIM3,normal,       0.035
905971,HCC2998,XPOT,normal,      -0.170
905971,HCC2998,HLA-DQA1,normal,       0.075
905971,HCC2998,FRMD4B,normal,       0.308
905971,HCC2998,CCDC173,normal,      -0.727
905971,HCC2998,CHMP4C,normal,       1.793
905971,HCC2998,PCDHB14,normal,       0.344
905971,HCC2998,INPP5B,normal,       0.098
905971,HCC2998,NDUFAF5,normal,       0.985
905971,HCC2998,PYURF,normal,       1.051
905971,HCC2998,PON1,normal,      -1.938
905971,HCC2998,EIF3K,normal,       0.391
905971,HCC2998,PRELID2,normal,       1.920
905971,HCC2998,COPS3,normal,       0.048
905971,HCC2998,ODF2L,normal,       0.825
905971,HCC2998,PIRT,normal,      -0.055
905971,HCC2998,TOX3,normal,       0.630
905971,HCC2998,LUZP2,normal,      -0.879
905971,HCC2998,FBXO21,normal,       0.535
905971,HCC2998,ETNK2,normal,      -1.602
905971,HCC2998,TAF1,normal,      -0.773
905971,HCC2998,IMPG1,normal,      -0.963
905971,HCC2998,ECT2,normal,       0.844
905971,HCC2998,RBMXL3,normal,       0.067
905971,HCC2998,CCS,normal,       0.020
905971,HCC2998,MON1B,normal,       0.173
905971,HCC2998,RNF145,normal,       1.561
905971,HCC2998,TMEM71,under,      -2.242
905971,HCC2998,DACT1,normal,       0.190
905971,HCC2998,NOC3L,normal,      -0.991
905971,HCC2998,RNF215,normal,       0.246
905971,HCC2998,GTF3C4,normal,       0.359
905971,HCC2998,STX1B,normal,       0.448
905971,HCC2998,CSTL1,normal,      -0.546
905971,HCC2998,RARB,normal,      -0.138
