SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1779966,TCGA-BP-5202-01,PPARG,normal,       0.026,416
1900242,TCGA-EW-A1OY-01,PPARG,normal,      -0.594,414
2269873,TCGA-Z4-A9VC-01,PPARG,over,       7.258,635
2263158,TCGA-EO-A3KW-01,PPARG,normal,      -0.584,419
2198186,TCGA-CE-A481-01,PPARG,normal,      -0.133,542
1650995,TCGA-AA-3543-01,PPARG,normal,      -0.796,376
2187702,TCGA-OL-A5DA-01,PPARG,normal,      -0.611,414
2194876,TCGA-62-A46S-01,PPARG,normal,      -0.522,417
2194666,TCGA-BC-A10Y-01,PPARG,normal,      -0.631,628
2198099,TCGA-CG-5725-01,PPARG,normal,      -1.278,541
2193475,TCGA-CV-7416-01,PPARG,normal,      -0.529,627
2196402,TCGA-24-2297-01,PPARG,normal,      -0.346,331
1797193,TCGA-EJ-5505-01,PPARG,normal,      -0.328,435
2270066,TCGA-XP-A8T6-01,PPARG,normal,      -0.588,633
1780511,TCGA-21-1071-01,PPARG,normal,      -0.491,418
1913420,TCGA-BP-4177-01,PPARG,normal,      -0.751,416
1779342,TCGA-A8-A075-01,PPARG,normal,      -0.445,414
2193423,TCGA-QG-A5YV-01,PPARG,normal,       0.294,376
1900061,TCGA-D8-A1JP-01,PPARG,normal,      -0.589,414
1651327,TCGA-G4-6310-01,PPARG,normal,      -1.237,376
1780772,TCGA-22-1012-01,PPARG,normal,      -0.230,418
1783419,TCGA-B5-A1MY-01,PPARG,normal,      -0.302,419
2195125,TCGA-77-7338-01,PPARG,normal,       0.011,418
2194245,TCGA-DU-8165-01,PPARG,normal,      -0.441,545
2270212,TCGA-DX-A3U7-01,PPARG,normal,      -0.399,635
2193609,TCGA-IQ-A61O-01,PPARG,normal,       0.051,627
1474927,TCGA-24-1604-01,PPARG,normal,      -0.386,331
1474914,TCGA-61-2008-01,PPARG,normal,      -0.146,331
2121550,TCGA-D3-A5GO-06,PPARG,normal,      -0.739,540
2198138,TCGA-F1-6874-01,PPARG,normal,       1.142,541
2340544,TCGA-UB-AA0V-01,PPARG,normal,      -0.434,628
2194346,TCGA-HT-7620-01,PPARG,normal,      -0.247,545
1474842,TCGA-13-1507-01,PPARG,normal,       0.083,331
2198254,TCGA-BJ-A45C-01,PPARG,normal,       0.058,542
2262785,TCGA-P5-A5EZ-01,PPARG,normal,      -0.196,545
2121531,TCGA-D3-A3CB-06,PPARG,normal,      -0.054,540
2193923,TCGA-A3-3313-01,PPARG,normal,       1.295,416
2196506,TCGA-IB-7889-01,PPARG,normal,      -0.219,629
2262920,TCGA-EA-A411-01,PPARG,normal,      -0.036,415
1899872,TCGA-B6-A0X4-01,PPARG,normal,      -0.783,414
1915874,TCGA-EJ-7794-01,PPARG,normal,      -0.377,435
2197620,TCGA-DY-A1DE-01,PPARG,normal,       0.958,375
2262971,TCGA-DU-A6S2-01,PPARG,normal,       0.276,545
2187891,TCGA-A2-A3KC-01,PPARG,normal,      -0.076,414
1780082,TCGA-05-5429-01,PPARG,over,      10.074,417
2121924,TCGA-DJ-A3VJ-01,PPARG,normal,      -0.109,542
2121647,TCGA-EE-A29W-06,PPARG,normal,       0.491,540
2121860,TCGA-DJ-A13O-01,PPARG,normal,       0.071,542
2339631,TCGA-G3-AAV1-01,PPARG,normal,       0.206,628
2193376,TCGA-C5-A2LX-01,PPARG,normal,      -0.372,415
2386292,TCGA-WY-A859-01,PPARG,normal,      -0.259,545
2340344,TCGA-WE-A8ZO-06,PPARG,normal,       1.023,540
2193928,TCGA-B2-A4SR-01,PPARG,normal,      -0.596,416
2194743,TCGA-55-8510-01,PPARG,normal,       0.558,417
2193597,TCGA-CV-7180-01,PPARG,normal,       0.522,627
2120282,TCGA-12-1597-01,PPARG,normal,      -0.204,329
1338087,TCGA-28-2513-01,PPARG,normal,      -0.442,329
2262928,TCGA-C5-A7UC-01,PPARG,normal,       1.465,415
2263095,TCGA-S9-A7J0-01,PPARG,normal,      -0.428,545
2385748,TCGA-DK-AA6R-01,PPARG,normal,      -0.900,413
1781722,TCGA-43-6770-01,PPARG,normal,      -0.461,418
1780215,TCGA-73-4666-01,PPARG,normal,       0.457,417
2339544,TCGA-S3-AA15-01,PPARG,normal,       0.378,414
2195221,TCGA-56-8628-01,PPARG,normal,      -0.487,418
1780080,TCGA-05-5425-01,PPARG,normal,       0.706,417
2121946,TCGA-E8-A413-01,PPARG,normal,      -0.142,542
1650465,TCGA-AB-2979-03,PPARG,normal,      -0.497,377
1801073,TCGA-CJ-4637-01,PPARG,normal,      -0.731,416
2122082,TCGA-EM-A3O7-01,PPARG,normal,      -0.172,542
2193368,TCGA-IR-A3LH-01,PPARG,normal,      -0.322,415
1899885,TCGA-BH-A0B3-01,PPARG,normal,      -0.408,414
2193823,TCGA-CV-6936-01,PPARG,normal,      -0.472,627
1780064,TCGA-05-4410-01,PPARG,normal,       0.143,417
2194842,TCGA-91-A4BC-01,PPARG,normal,      -0.331,417
2262770,TCGA-KT-A7W1-01,PPARG,normal,      -0.839,545
2194170,TCGA-DU-5871-01,PPARG,normal,      -0.641,545
2122073,TCGA-EM-A3FM-01,PPARG,normal,      -0.156,542
2339709,TCGA-EJ-A65G-01,PPARG,normal,      -0.667,435
2121621,TCGA-EE-A180-06,PPARG,normal,      -0.512,540
1899862,TCGA-B6-A0RI-01,PPARG,normal,       0.023,414
1783546,TCGA-EY-A212-01,PPARG,normal,      -0.735,419
2385688,TCGA-NJ-A55O-01,PPARG,normal,      -0.181,417
1781825,TCGA-46-3769-01,PPARG,normal,       0.991,418
2120517,TCGA-CJ-4890-01,PPARG,normal,      -0.222,416
1780231,TCGA-75-6212-01,PPARG,normal,      -0.190,417
2386122,TCGA-EW-A6SA-01,PPARG,normal,      -0.683,414
1900154,TCGA-E2-A1B1-01,PPARG,normal,       0.872,414
2457267,TCGA-DX-A8BR-01,PPARG,normal,       0.425,635
2457421,TCGA-E1-A7YJ-01,PPARG,normal,       0.699,545
2386130,TCGA-UL-AAZ6-01,PPARG,normal,      -0.412,414
2197845,TCGA-BR-6803-01,PPARG,normal,      -0.787,541
2386065,TCGA-5R-AA1D-01,PPARG,normal,      -0.108,628
1899745,TCGA-AN-A04A-01,PPARG,normal,      -0.598,414
2122168,TCGA-FY-A3R9-01,PPARG,normal,      -0.044,542
2198022,TCGA-BR-7959-01,PPARG,normal,      -0.863,541
2386194,TCGA-VS-A9U6-01,PPARG,normal,       0.013,415
1650919,TCGA-A6-2671-01,PPARG,normal,      -0.936,376
1914110,TCGA-97-7937-01,PPARG,normal,      -0.697,417
2198338,TCGA-BG-A0MA-01,PPARG,normal,      -0.629,419
2120436,TCGA-B0-4844-01,PPARG,normal,      -0.576,416
1779249,TCGA-CU-A0YR-01,PPARG,over,       3.213,413
1783418,TCGA-B5-A1MU-01,PPARG,normal,      -0.666,419
2263061,TCGA-EK-A2RO-01,PPARG,normal,      -0.389,415
2195187,TCGA-85-8353-01,PPARG,normal,      -0.591,418
1797198,TCGA-EJ-5510-01,PPARG,normal,      -0.385,435
2457501,TCGA-AC-A3TM-01,PPARG,normal,      -0.548,414
1780054,TCGA-05-4384-01,PPARG,normal,      -0.247,417
2197989,TCGA-BR-6453-01,PPARG,normal,      -0.150,541
2262850,TCGA-HC-8259-01,PPARG,normal,      -0.202,435
1651098,TCGA-AA-A00F-01,PPARG,normal,       0.070,376
1474868,TCGA-59-2348-01,PPARG,normal,      -0.153,331
1651103,TCGA-AA-A00O-01,PPARG,normal,      -0.431,376
2197999,TCGA-CG-4438-01,PPARG,normal,       0.088,541
2195085,TCGA-37-4130-01,PPARG,normal,       0.214,418
1913989,TCGA-44-8117-01,PPARG,normal,       0.180,417
1783402,TCGA-B5-A11H-01,PPARG,normal,      -0.660,419
1651036,TCGA-AA-3814-01,PPARG,normal,       0.016,376
2187810,TCGA-AR-A2LN-01,PPARG,normal,       0.439,414
