SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE, ID_STUDY
1781896,TCGA-51-4081-01,HRAS,normal,       0.082,418
1650964,TCGA-A6-6782-01,HRAS,normal,      -0.158,376
2195126,TCGA-77-8150-01,HRAS,normal,       0.065,418
1899853,TCGA-AR-A256-01,HRAS,normal,      -0.937,414
2269822,TCGA-FM-8000-01,HRAS,normal,      -0.075,632
2121529,TCGA-D3-A3C7-06,HRAS,normal,      -0.363,540
1899791,TCGA-AO-A12B-01,HRAS,normal,       0.885,414
2198351,TCGA-AP-A1DO-01,HRAS,normal,       0.189,419
1779335,TCGA-A8-A06Q-01,HRAS,normal,      -0.587,414
1731332,TCGA-61-1725-01,HRAS,normal,      -0.664,331
2385804,TCGA-RS-A6TP-01,HRAS,normal,       0.233,627
2198186,TCGA-CE-A481-01,HRAS,normal,      -0.156,542
2262972,TCGA-TM-A7C5-01,HRAS,normal,      -0.478,545
1474971,TCGA-09-0366-01,HRAS,normal,      -0.206,331
2385892,TCGA-94-8035-01,HRAS,normal,       0.860,418
2339845,TCGA-FG-A70Y-01,HRAS,normal,       0.706,545
2122108,TCGA-ET-A39K-01,HRAS,over,       2.211,542
2195236,TCGA-85-A4JC-01,HRAS,normal,       1.514,418
2121923,TCGA-DJ-A3VF-01,HRAS,normal,      -0.452,542
2197617,TCGA-EJ-7782-01,HRAS,normal,      -0.591,435
2385727,TCGA-BB-A6UO-01,HRAS,normal,      -0.043,627
2194562,TCGA-BC-A3KF-01,HRAS,normal,       0.014,628
2340014,TCGA-KU-A6H7-01,HRAS,normal,       1.022,627
2193720,TCGA-CV-7253-01,HRAS,normal,      -0.907,627
2339577,TCGA-CV-A6JZ-01,HRAS,normal,       0.332,627
2194145,TCGA-HT-8012-01,HRAS,normal,      -0.259,545
2121860,TCGA-DJ-A13O-01,HRAS,normal,       0.517,542
1900126,TCGA-E2-A153-01,HRAS,normal,      -0.168,414
2193537,TCGA-CR-7392-01,HRAS,normal,      -0.659,627
2193283,TCGA-FJ-A3Z7-01,HRAS,normal,      -0.649,413
2187686,TCGA-S3-A6ZG-01,HRAS,normal,      -0.580,414
1899623,TCGA-A2-A0EV-01,HRAS,normal,      -0.416,414
2195237,TCGA-77-A5GB-01,HRAS,normal,       0.710,418
2339268,TCGA-CV-A464-01,HRAS,normal,      -0.125,627
1651121,TCGA-AA-A01T-01,HRAS,normal,       1.315,376
