SAMPLE_ID, SAMPLE_NAME, GENE_NAME, REGULATION, Z_SCORE
905967,NCI-H322M,NGFR,normal,       1.101
905967,NCI-H322M,F13B,normal,      -0.028
905967,NCI-H322M,MYL6,normal,      -0.669
905967,NCI-H322M,C21orf62,normal,      -0.258
905967,NCI-H322M,RNASE8,normal,      -0.190
905967,NCI-H322M,ATAD2B,normal,       0.387
905967,NCI-H322M,FSCN3,over,       3.261
905967,NCI-H322M,SHLD1,normal,      -0.438
905967,NCI-H322M,TMEM63C,normal,       0.193
905967,NCI-H322M,CD3E,normal,       0.573
905967,NCI-H322M,SRM,normal,      -0.599
905967,NCI-H322M,BORCS6,normal,       0.607
905967,NCI-H322M,ECT2L,normal,       0.193
905967,NCI-H322M,CCDC28B,normal,      -1.492
905967,NCI-H322M,DNMT3B,normal,       0.889
905967,NCI-H322M,CSNK2A2,normal,       0.545
905967,NCI-H322M,CDKN2B,normal,      -1.063
905967,NCI-H322M,DNPEP,normal,       0.332
905967,NCI-H322M,GIT1,normal,      -0.405
905967,NCI-H322M,MANF,over,       2.488
905967,NCI-H322M,LCAT,normal,       0.076
905967,NCI-H322M,PEX5,normal,       0.851
905967,NCI-H322M,ZSCAN9,normal,       0.188
905967,NCI-H322M,C3AR1,normal,      -0.133
905967,NCI-H322M,PRSS1,normal,       1.190
905967,NCI-H322M,GLB1L2,normal,      -1.505
905967,NCI-H322M,MRPS14,normal,      -0.018
905967,NCI-H322M,RAB38,normal,       1.137
905967,NCI-H322M,PHF2,normal,      -0.692
905967,NCI-H322M,GOLPH3,over,       2.262
905967,NCI-H322M,SH3GLB1,normal,       0.290
905967,NCI-H322M,OSCP1,normal,       0.313
905967,NCI-H322M,MCHR1,normal,       0.769
905967,NCI-H322M,ZNF594,normal,      -0.510
905967,NCI-H322M,GCH1,normal,       0.007
905967,NCI-H322M,PDXDC1,over,       2.387
905967,NCI-H322M,ATG12,normal,       0.398
905967,NCI-H322M,CCDC84,normal,      -0.961
905967,NCI-H322M,IGF1R,normal,       0.744
905967,NCI-H322M,DNAH7,normal,      -0.069
905967,NCI-H322M,SOX17,normal,       0.147
905967,NCI-H322M,ZDHHC3,normal,       1.126
905967,NCI-H322M,SIT1,normal,      -0.056
905967,NCI-H322M,COQ5,normal,      -1.896
905967,NCI-H322M,EDEM1,normal,       0.876
905967,NCI-H322M,KXD1,normal,       0.082
905967,NCI-H322M,PHF20L1,normal,       0.845
905967,NCI-H322M,ZNF682,normal,       0.197
905967,NCI-H322M,MS4A13,over,       2.590
905967,NCI-H322M,TMEM100,normal,       0.348
905967,NCI-H322M,SLC6A16,normal,      -0.417
905967,NCI-H322M,CCL16,normal,       1.650
905967,NCI-H322M,C1QB,normal,       0.919
905967,NCI-H322M,IFNA6,normal,       1.591
905967,NCI-H322M,RYR1,normal,       1.319
905967,NCI-H322M,AKR1C2,normal,       1.527
905967,NCI-H322M,SPATA31E1,normal,      -0.052
905967,NCI-H322M,ART4,normal,       0.033
905967,NCI-H322M,ELF2,normal,      -0.419
905967,NCI-H322M,ADAMTS1,normal,       0.150
905967,NCI-H322M,KRTAP5-1,normal,       1.141
905967,NCI-H322M,ARHGAP15,normal,       0.449
905967,NCI-H322M,MAGT1,normal,      -0.366
905967,NCI-H322M,IMPG2,normal,       0.615
905967,NCI-H322M,UBL4A,normal,      -1.235
905967,NCI-H322M,JAGN1,normal,      -1.585
905967,NCI-H322M,JADE1_ENST00000452328,normal,      -0.882
905967,NCI-H322M,MFSD10,normal,      -0.041
905967,NCI-H322M,CYTIP,normal,       0.264
905967,NCI-H322M,IGF2BP2,normal,      -0.074
905967,NCI-H322M,OR10H3,normal,       1.858
905967,NCI-H322M,FAM172A,normal,      -0.622
905967,NCI-H322M,MYOG,normal,      -0.016
905967,NCI-H322M,BRD9,normal,      -0.838
